Printout for SDDS file one.sig

       s             enx            eny      
       m              m              m       
---------------------------------------------
  2.525724e+02   1.108001e-05   1.092878e-05 
  2.525724e+02   1.108001e-05   1.092875e-05 
  2.646224e+02   1.108001e-05   1.092875e-05 
  2.647724e+02   1.108893e-05   1.092446e-05 
  2.647724e+02   1.108893e-05   1.092446e-05 
  2.647724e+02   1.108948e-05   1.092446e-05 
  2.647724e+02   1.108948e-05   1.092437e-05 
  2.768224e+02   1.108948e-05   1.092437e-05 
  2.769724e+02   1.107648e-05   1.093486e-05 
  2.769724e+02   1.107648e-05   1.093486e-05 
  2.769724e+02   1.107571e-05   1.093486e-05 
  2.769724e+02   1.107571e-05   1.093471e-05 
  2.890224e+02   1.107571e-05   1.093471e-05 
  2.891724e+02   1.110649e-05   1.093550e-05 
  2.891724e+02   1.110649e-05   1.093550e-05 
  2.891724e+02   1.110851e-05   1.093550e-05 
  2.891724e+02   1.110851e-05   1.093557e-05 
  2.919350e+02   1.110851e-05   1.093557e-05 
  2.922100e+02   1.110851e-05   1.093557e-05 
  2.925100e+02   1.114604e-05   1.094724e-05 
  2.928100e+02   1.114604e-05   1.094724e-05 
  2.931100e+02   1.108680e-05   1.092062e-05 
  2.931100e+02   1.108680e-05   1.092062e-05 
  2.931100e+02   1.111354e-05   1.092062e-05 
  2.931100e+02   1.111354e-05   1.091977e-05 
  2.948850e+02   1.111354e-05   1.091977e-05 
  2.950350e+02   1.111349e-05   1.091973e-05 
  2.950350e+02   1.111349e-05   1.091973e-05 
  2.950350e+02   1.111524e-05   1.091973e-05 
  2.950350e+02   1.111524e-05   1.091969e-05 
  2.956600e+02   1.111524e-05   1.091969e-05 
  2.956600e+02   1.111524e-05   1.091969e-05 
  2.958600e+02   1.111524e-05   1.091969e-05 
  2.958600e+02   1.111524e-05   1.091969e-05 
  2.960600e+02   1.111524e-05   1.091969e-05 
  2.963600e+02   1.109996e-05   1.091839e-05 
  2.966600e+02   1.109996e-05   1.091839e-05 
  2.969600e+02   1.110422e-05   1.092039e-05 
  2.969600e+02   1.110422e-05   1.092039e-05 
  2.969600e+02   1.111699e-05   1.092039e-05 
  2.969600e+02   1.111699e-05   1.092096e-05 
  2.972600e+02   1.111699e-05   1.092096e-05 
  2.972600e+02   1.111699e-05   1.092096e-05 
  2.987600e+02   2.108281e-04   1.092079e-05 
  3.007850e+02   2.108278e-04   1.092077e-05 
  3.009350e+02   2.102164e-04   1.092354e-05 
  3.009350e+02   2.102164e-04   1.092354e-05 
  3.009350e+02   2.102111e-04   1.092354e-05 
  3.009350e+02   2.102111e-04   1.092353e-05 
  3.013600e+02   2.102111e-04   1.092353e-05 
  3.040871e+02   2.099756e-04   1.007078e-03 
  3.048871e+02   2.099753e-04   1.007076e-03 
  3.051871e+02   2.173350e-04   9.972987e-04 
  3.051871e+02   2.173350e-04   9.972987e-04 
  3.051871e+02   2.173119e-04   9.972987e-04 
