Printout for SDDS file one.cen

       s              Cx             Cy      
       m              m              m       
---------------------------------------------
  3.065871e+02  -7.244817e-05  -2.423434e-06 
  3.068871e+02  -7.353017e-05  -5.927684e-06 
  3.073871e+02  -5.936779e-05  -1.252283e-05 
  3.076871e+02  -5.884031e-05  -1.456467e-05 
  3.076871e+02  -5.884031e-05  -1.456467e-05 
  3.076871e+02  -5.884031e-05  -1.456467e-05 
  3.076871e+02  -5.884031e-05  -1.456467e-05 
  3.082620e+02  -7.315657e-05  -1.456763e-05 
  3.082620e+02  -7.315657e-05  -1.456763e-05 
  3.088370e+02  -8.747284e-05  -1.457060e-05 
  3.091370e+02  -1.083074e-04  -1.217917e-05 
  3.091370e+02  -1.083074e-04  -1.217917e-05 
  3.091370e+02  -1.083074e-04  -1.217917e-05 
  3.091370e+02  -1.083074e-04  -1.217917e-05 
  3.096370e+02  -1.670111e-04  -4.383339e-06 
  3.099370e+02  -1.776320e-04  -4.055602e-07 
  3.113370e+02  -1.099737e-04   1.572238e-05 
  3.116370e+02  -1.091943e-04   1.766038e-05 
  3.116370e+02  -1.091943e-04   1.766038e-05 
  3.116370e+02  -1.091943e-04   1.766038e-05 
  3.116370e+02  -1.091943e-04   1.766038e-05 
  3.124370e+02  -1.436893e-04   1.854457e-05 
